zscores,ITEM,CONDITION,EXTRACTION,NEGATIVITY,id
0.98283589,8,NoExtr_Pos,NoExtr,Pos,4
0.536092304,1008,filler_ok,NA,NA,4
0.98283589,1004,filler_good,NA,NA,4
0.98283589,5,Extr_Pos,Extr,Pos,4
-0.804138455,1012,filler_bad,NA,NA,4
0.536092304,7,Extr_Neg,Extr,Neg,4
0.98283589,1005,filler_ok,NA,NA,4
-0.357394869,6,NoExtr_Neg,NoExtr,Neg,4
-1.697625628,1009,filler_bad,NA,NA,4
0.98283589,1003,filler_good,NA,NA,4
0.98283589,4,NoExtr_Pos,NoExtr,Pos,4
0.98283589,1002,filler_good,NA,NA,4
0.98283589,1,Extr_Pos,Extr,Pos,4
1.275426332,1004,filler_good,NA,NA,12
1.275426332,1002,filler_good,NA,NA,12
0.255085266,6,Extr_Pos,Extr,Pos,12
-0.255085266,1011,filler_bad,NA,NA,12
0.255085266,3,NoExtr_Neg,NoExtr,Neg,12
-1.275426332,1010,filler_bad,NA,NA,12
0.255085266,1007,filler_ok,NA,NA,12
1.275426332,1,NoExtr_Pos,NoExtr,Pos,12
0.765255799,1005,filler_ok,NA,NA,12
1.275426332,1003,filler_good,NA,NA,12
-1.275426332,5,NoExtr_Pos,NoExtr,Pos,12
-0.255085266,1008,filler_ok,NA,NA,12
-0.765255799,7,NoExtr_Neg,NoExtr,Neg,12
0.255085266,1006,filler_ok,NA,NA,12
-1.275426332,4,Extr_Neg,Extr,Neg,12
-0.255085266,1009,filler_bad,NA,NA,12
-1.785596865,1012,filler_bad,NA,NA,12
-1.275426332,8,Extr_Neg,Extr,Neg,12
0.765255799,1001,filler_good,NA,NA,12
0.765255799,2,Extr_Pos,Extr,Pos,12
