"zscores","ITEM","CONDITION","EXTRACTION","WH_SITE","id"
0.988275866946669,"18","Extr_whObj","Extr","whObj",10
-0.423546800120001,"1027","filler_bad",NA,NA,10
-1.12945813365334,"1028","filler_bad",NA,NA,10
0.282364533413334,"24","Extr_whSubj","Extr","whSubj",10
0.282364533413334,"1015","filler_ok",NA,NA,10
-0.423546800120001,"16","Extr_whSubj","Extr","whSubj",10
0.988275866946669,"1009","filler_ok",NA,NA,10
0.988275866946669,"1005","filler_good",NA,NA,10
0.282364533413334,"22","Extr_whObj","Extr","whObj",10
0.282364533413334,"1021","filler_ok",NA,NA,10
0.282364533413334,"10","Extr_whObj","Extr","whObj",10
0.988275866946669,"1024","filler_ok",NA,NA,10
0.282364533413334,"3","NoExtr_whSubj","NoExtr","whSubj",10
-0.423546800120001,"1033","filler_bad",NA,NA,10
-1.83536946718667,"1036","filler_bad",NA,NA,10
0.988275866946669,"5","NoExtr_whObj","NoExtr","whObj",10
0.282364533413334,"1008","filler_good",NA,NA,10
0.282364533413334,"4","Extr_whSubj","Extr","whSubj",10
0.282364533413334,"1013","filler_ok",NA,NA,10
-0.423546800120001,"1032","filler_bad",NA,NA,10
0.282364533413334,"6","Extr_whObj","Extr","whObj",10
-1.12945813365334,"1030","filler_bad",NA,NA,10
0.282364533413334,"15","NoExtr_whSubj","NoExtr","whSubj",10
0.988275866946669,"1011","filler_ok",NA,NA,10
0.0560145542821447,"1013","filler_ok",NA,NA,6
1.40036385705362,"5","NoExtr_whSubj","NoExtr","whSubj",6
-1.96050939987507,"1030","filler_bad",NA,NA,6
0.728189205667883,"13","NoExtr_whSubj","NoExtr","whSubj",6
0.728189205667883,"1002","filler_good",NA,NA,6
0.728189205667883,"1007","filler_good",NA,NA,6
0.728189205667883,"3","NoExtr_whObj","NoExtr","whObj",6
-1.96050939987507,"1033","filler_bad",NA,NA,6
-1.28833474848933,"1021","filler_ok",NA,NA,6
-1.96050939987507,"6","Extr_whSubj","Extr","whSubj",6
0.0560145542821447,"1036","filler_bad",NA,NA,6
0.728189205667883,"22","Extr_whSubj","Extr","whSubj",6
